iter	Passed	Remaining
124	210123	1470867
125	212956	1477175
126	215456	1481053
127	217369	1480833
128	219478	1481905
129	221110	1479742
130	223818	1484716
131	226007	1486167
132	227600	1483682
133	230112	1487146
134	231756	1484955
135	233361	1482531
136	234975	1480176
137	236636	1478119
138	238256	1475817
139	239871	1473498
140	241524	1471415
141	243116	1468971
142	244719	1466605
143	246331	1464305
144	247913	1461837
145	249528	1459572
146	251138	1457288
147	252744	1454990
148	254368	1452801
149	255975	1450525
150	257573	1448212
151	259157	1445827
152	260787	1443708
153	262400	1441500
154	264005	1439257
155	265609	1437017
156	267205	1434738
157	268797	1432454
158	270391	1430183
159	272005	1428027
160	273658	1426083
161	275277	1423967
162	276872	1421732
163	278457	1419456
164	280049	1417218
165	281683	1415203
166	283431	1413762
167	285489	1413853
168	287491	1413642
169	289336	1412641
170	291291	1412168
171	293215	1411527
172	294875	1409606
173	296703	1408486
174	298556	1407480
175	300381	1406332
176	302293	1405579
177	304183	1404710
178	306335	1405034
179	308219	1404110
180	310013	1402766
181	311792	1401352
182	313766	1400806
183	315549	1399393
184	317293	1397808
185	318962	1395889
186	320600	1393841
187	322741	1393969
188	324775	1393612
189	326636	1392504
190	328420	1391057
191	330348	1390216
192	332097	1388615
193	334584	1390078
194	336212	1387952
195	337829	1385788
196	339460	1383688
197	341086	1381571
198	342721	1379497
199	344315	1377263
200	345914	1375053
201	347523	1372891
202	349134	1370738
203	350735	1368558
204	352343	1366403
205	353943	1364230
206	355560	1362121
207	357179	1360030
208	358794	1357923
209	360411	1355832
210	362075	1353921
211	363701	1351873
212	365365	1349966
213	366988	1347910
214	368598	1345814
215	370219	1343759
216	371843	1341720
217	373459	1339656
218	375088	1337643
219	376694	1335551
220	378294	1333446
221	379925	1331450
222	381530	1329367
223	383148	1327335
224	384752	1325259
225	386397	1323325
226	388036	1321374
227	389634	1319290
228	391284	1317380
229	392893	1315339
230	394505	1313310
231	396129	1311323
232	397773	1309408
233	399375	1307357
234	401069	1305609
235	402735	1303771
236	404343	1301746
237	405972	1299795
238	407560	1297714
239	409168	1295701
240	410904	1294093
241	412546	1292190
242	414164	1290214
243	415793	1288279
244	417403	1286284
245	419025	1284331
246	420638	1282351
247	422245	1280357
248	423860	1278389
249	425476	1276430
250	427090	1274464
251	428718	1272546
252	430341	1270612
253	431957	1268662
254	433593	1266773
255	435210	1264831
256	436821	1262872
257	438432	1260917
258	440044	1258968
259	441655	1257020
260	443269	1255081
261	444880	1253136
262	446497	1251211
263	448135	1249347
264	449825	1247630
265	451526	1245941
266	453129	1243984
267	454745	1242066
268	456341	1240094
269	457949	1238160
270	459570	1236260
271	461228	1234465
272	462846	1232561
273	464474	1230686
274	466081	1228761
275	467748	1226992
276	469348	1225049
277	470949	1223112
278	472646	1221426
279	474540	1220246
280	476154	1218344
281	477778	1216471
282	479383	1214552
283	481188	1213136
284	482809	1211258
285	484426	1209372
286	486039	1207478
287	487665	1205616
288	489284	1203740
289	490907	1201875
290	492522	1199994
291	494142	1198126
292	495747	1196223
293	497345	1194304
294	498949	1192405
295	500566	1190535
296	502185	1188674
297	503794	1186791
298	505416	1184938
299	507087	1183204
300	508713	1181363
301	510344	1179537
302	511979	1177722
303	513612	1175901
304	515307	1174225
305	516924	1172370
306	518543	1170523
307	520170	1168695
308	521802	1166878
309	523798	1165874
310	525870	1165032
311	527970	1164242
312	530106	1163525
313	532223	1162755
314	533955	1161141
315	535584	1159303
316	537213	1157465
317	538809	1155560
318	540421	1153690
319	542072	1151905
320	543696	1150061
321	545326	1148233
322	546981	1146459
323	548587	1144583
324	550187	1142696
325	551805	1140849
326	553405	1138967
327	555035	1137145
328	556631	1135256
329	558222	1133360
330	559839	1131517
331	561428	1129620
332	563084	1127859
333	564695	1126008
334	566300	1124149
335	567895	1122269
336	569498	1120408
337	571148	1118639
338	572753	1116785
339	574355	1114925
340	575967	1113085
341	577587	1111264
342	579188	1109407
343	580796	1107566
344	582429	1105771
345	584167	1104178
346	585770	1102328
347	587371	1100477
348	588977	1098637
349	590596	1096822
350	592197	1094974
351	593858	1093238
352	595457	1091390
353	597083	1089593
354	598703	1087785
355	600338	1086005
356	601965	1084211
357	603579	1082396
358	605195	1080586
359	606814	1078780
360	608412	1076940
361	610034	1075143
362	611643	1073324
363	613273	1071543
364	614871	1069707
365	616472	1067878
366	618075	1066053
367	619698	1064265
368	621332	1062495
369	622969	1060732
370	624586	1058934
371	626210	1057151
372	627809	1055326
373	629444	1053562
374	631064	1051774
375	632713	1050034
376	634313	1048214
377	635922	1046411
378	637542	1044627
379	639159	1042838
380	640779	1041057
381	642406	1039285
382	644026	1037504
383	645648	1035727
384	647270	1033950
385	648880	1032156
386	650579	1030504
387	652244	1028797
388	653846	1026992
389	655441	1025177
390	657068	1023413
391	658674	1021617
392	660334	1019906
393	661933	1018100
394	663619	1016429
395	665222	1014632
396	666840	1012858
397	668438	1011055
398	670044	1009264
399	671668	1007502
400	673435	1005954
401	675085	1004231
402	676702	1002459
403	678328	1000702
404	680000	999013
405	681643	997280
406	683419	995743
407	685075	994030
408	686708	992285
409	688343	990543
410	689990	988818
411	691660	987127
412	693292	985382
413	694922	983634
414	696529	981854
415	698161	980111
416	699779	978349
417	701414	976610
418	703044	974866
419	704658	973099
420	706286	971354
421	708005	969732
422	709635	967989
423	711250	966226
424	712863	964461
425	714607	962874
426	716525	961520
427	718362	960054
428	719989	958307
429	721650	956606
430	723284	954870
431	724982	953217
432	726596	951455
433	728345	949869
434	729962	948112
435	731699	946509
436	733339	944782
437	734973	943048
438	736611	941318
439	738219	939551
440	739880	937853
441	741503	936105
442	743122	934354
443	744757	932624
444	746392	930893
445	748063	929208
446	749679	927455
447	751326	925742
448	752972	924025
449	754634	922330
450	756302	920642
451	757924	918899
452	759553	917165
453	761201	915453
454	762825	913713
455	764458	911985
456	766084	910249
457	767729	908535
458	769427	906885
459	771062	905160
460	772689	903426
461	774395	901785
462	776030	900060
463	777652	898322
464	779262	896570
465	780872	894819
466	782488	893075
467	784098	891325
468	785713	889582
469	787326	887835
470	788939	886091
471	790562	884358
472	792187	882627
473	793834	880922
474	795456	879188
475	797151	877536
476	798764	875794
477	800376	874051
478	801979	872298
479	803599	870566
480	805221	868836
481	806856	867119
482	808533	865449
483	810159	863723
484	811778	861991
485	813415	860278
486	815031	858544
487	816665	856829
488	818268	855081
489	819897	853362
490	821521	851638
491	823161	849931
492	824788	848210
493	826412	846487
494	828028	844756
495	829644	843025
496	831263	841298
497	832886	839576
498	834526	837871
499	836161	836161
500	837772	834427
501	839395	832706
502	841076	831044
503	842749	829372
504	844374	827654
505	846035	825971
506	847640	824234
507	849264	822516
508	850888	820798
509	852525	819093
510	854159	817385
511	855774	815660
512	857409	813954
513	859033	812237
514	860635	810501
515	862246	808774
516	863853	807043
517	865471	805322
518	867081	803595
519	868711	801887
520	870332	800171
521	872027	798522
522	873631	796792
523	875239	795065
524	876856	793346
525	878460	791616
526	880068	789890
527	881684	788172
528	883302	786456
529	884914	784735
530	886525	783013
531	888128	781286
532	890685	780394
533	894733	780797
534	898922	781306
535	902132	780950
536	903888	779330
537	905663	777725
538	907386	776076
539	909097	774416
540	910739	772698
541	912359	770960
542	914026	769263
543	915679	767555
544	917290	765811
545	918910	764075
546	920518	762330
547	922158	760612
548	923787	758885
549	925643	757344
550	927528	755826
551	929164	754104
552	930915	752476
553	932650	750834
554	934265	749095
555	935888	747364
556	937505	745627
557	939117	743889
558	940814	742216
559	942462	740506
560	944094	738783
561	945704	737043
562	947301	735294
563	948912	733556
564	950533	731826
565	952159	730100
566	953794	728383
567	955419	726657
568	957023	724916
569	958637	723182
570	960246	721446
571	961900	719744
572	963525	718020
573	965151	716297
574	966794	714587
575	968430	712872
576	970091	711176
577	971719	709456
578	973363	707747
579	975028	706055
580	976638	704323
581	978268	702605
582	979919	700903
583	981540	699179
584	983156	697453
585	984771	695725
586	986410	694016
587	988059	692314
588	989710	690612
589	991381	688925
590	992993	687198
591	994621	685482
592	996230	683753
593	997851	682033
594	999497	680330
595	1001130	678618
596	1002768	676910
597	1004371	675179
598	1005989	673458
599	1007599	671732
600	1009280	670055
601	1010936	668360
602	1012557	666642
603	1014198	664937
604	1015841	663235
605	1017792	661733
606	1021857	661598
607	1026112	661572
608	1030236	661449
609	1032675	660234
610	1034439	658587
611	1036159	656911
612	1037873	655231
613	1039588	653552
614	1041211	651815
615	1042810	650063
616	1044423	648320
617	1046042	646583
618	1047655	644841
619	1049262	643096
620	1050867	641350
621	1052543	639648
622	1054165	637914
623	1055774	636171
624	1057375	634425
625	1058977	632679
626	1060587	630939
627	1062195	629198
628	1063798	627454
629	1065399	625711
630	1067006	623970
631	1068632	622241
632	1070235	620499
633	1071863	618773
634	1073476	617037
635	1075085	615300
636	1076688	613560
637	1078275	611811
638	1079893	610080
639	1081503	608345
640	1083085	606595
641	1084685	604855
642	1086335	603144
643	1087937	601406
644	1089568	599684
645	1091228	597979
646	1092826	596240
647	1094433	594507
648	1096035	592770
649	1097653	591044
650	1099262	589312
651	1100850	587570
652	1102446	585832
653	1104053	584101
654	1105664	582373
655	1107265	580639
656	1108873	578909
657	1110457	577167
658	1112072	575442
659	1113660	573704
660	1115270	571976
661	1116946	570283
662	1118567	568562
663	1120206	566851
664	1121853	565144
665	1123486	563429
666	1125111	561712
667	1126721	559987
668	1128363	558278
669	1130010	556572
670	1131688	554881
671	1133314	553165
672	1134918	551439
673	1136523	549713
674	1138138	547992
675	1139744	546268
676	1141342	544540
677	1142940	542812
678	1144569	541099
679	1146170	539374
680	1147822	537673
681	1149483	535976
682	1151101	534259
683	1152734	532549
684	1154359	530836
685	1155955	529110
686	1157553	527386
687	1159147	525660
688	1160760	523942
689	1162359	522219
690	1163955	520495
691	1165575	518782
692	1167188	517066
693	1168851	515372
694	1170464	513657
695	1172070	511938
696	1173671	510218
697	1175274	508499
698	1176890	506786
699	1178496	505069
700	1180120	503360
701	1181740	501650
702	1183344	499933
703	1184952	498218
704	1186551	496500
705	1188154	494784
706	1189781	493077
707	1191403	491369
708	1193042	489669
709	1194696	487974
710	1196319	486267
711	1197929	484555
712	1199616	482875
713	1201298	481192
714	1202891	479474
715	1204516	477769
716	1206141	476064
717	1207827	474383
718	1209458	472681
719	1211063	470969
720	1212701	469270
721	1214294	467553
722	1215893	465840
723	1217483	464123
724	1219079	462409
725	1220666	460692
726	1222257	458976
727	1223845	457261
728	1225485	455564
729	1227073	453849
730	1228687	452143
731	1230300	450438
732	1231956	448748
733	1233563	447040
734	1235160	445329
735	1236790	443631
736	1238386	441920
737	1240019	440223
738	1241635	438520
739	1243238	436813
740	1244845	435107
741	1246443	433399
742	1248036	431689
743	1249648	429986
744	1251294	428295
745	1252889	426587
746	1254481	424877
747	1256093	423175
748	1257701	421472
749	1259357	419785
750	1260978	418087
751	1262642	416403
752	1264254	414702
753	1265854	412997
754	1267505	411309
755	1269114	409608
756	1270741	407913
757	1272376	406220
758	1274238	404600
759	1276105	402980
760	1277720	401281
761	1279345	399585
762	1280962	397887
763	1282562	396184
764	1284168	394483
765	1285786	392786
766	1287397	391086
767	1288994	389383
768	1290616	387688
769	1292275	386004
770	1293879	384303
771	1295487	382605
772	1297069	380898
773	1298657	379194
774	1300275	377499
775	1301880	375800
776	1303485	374101
777	1305109	372409
778	1306700	370706
779	1308311	369010
780	1309936	367318
781	1311518	365615
782	1313113	363915
783	1314702	362213
784	1316323	360521
785	1317923	358823
786	1319536	357129
787	1321129	355430
788	1322722	353731
789	1324337	352039
790	1325921	350338
791	1327575	348656
792	1329179	346961
793	1330800	345270
794	1332432	343583
795	1334034	341888
796	1335647	340196
797	1337248	338501
798	1338860	336809
799	1340449	335112
800	1342076	333424
801	1343686	331733
802	1345307	330044
803	1346891	328346
804	1348496	326654
805	1350099	324961
806	1351747	323280
807	1353342	321586
808	1354945	319894
809	1356545	318202
810	1358153	316511
811	1359759	314821
812	1361367	313131
813	1362985	311443
814	1364589	309753
815	1366182	308060
816	1367804	306374
817	1369407	304684
818	1371057	303005
819	1372662	301316
820	1374257	299624
821	1375864	297936
822	1377459	296245
823	1379081	294561
824	1380681	292871
825	1382353	291197
826	1384017	289522
827	1385605	287831
828	1387203	286142
829	1388808	284454
830	1390425	282770
831	1392062	281089
832	1393666	279402
833	1395289	277719
834	1396896	276033
835	1398500	274346
836	1400091	272658
837	1401685	270970
838	1403285	269283
839	1404891	267598
840	1406493	265912
841	1408120	264231
842	1409781	262557
843	1411390	260873
844	1412988	259187
845	1414593	257502
846	1416185	255816
847	1417780	254130
848	1419376	252444
849	1420996	250764
850	1422936	249139
851	1424892	247516
852	1426862	245895
853	1428835	244274
854	1430800	242650
855	1432758	241024
856	1434626	239383
857	1436244	237700
858	1437825	236010
859	1439423	234324
860	1441115	232653
861	1442793	230980
862	1444390	229294
863	1445994	227610
864	1447598	225925
865	1449206	224242
866	1450817	222559
867	1452427	220876
868	1454025	219191
869	1455638	217509
870	1457245	215826
871	1458855	214143
872	1460462	212461
873	1462062	210777
874	1463673	209096
875	1465281	207414
876	1466885	205731
877	1468498	204051
878	1470109	202369
879	1471736	200691
880	1473406	199018
881	1475030	197339
882	1476641	195659
883	1478259	193979
884	1479901	192303
885	1481537	190626
886	1483158	188948
887	1484783	187269
888	1486386	185589
889	1487987	183908
890	1489618	182231
891	1491282	180558
892	1492895	178880
893	1494487	177198
894	1496117	175522
895	1497728	173843
896	1499371	172168
897	1501036	170496
898	1502635	168816
899	1504232	167136
900	1505820	165456
901	1507428	163778
902	1509056	162102
903	1510676	160425
904	1512286	158748
905	1513873	157068
906	1515510	155394
907	1517113	153716
908	1518726	152039
909	1520348	150364
910	1521957	148687
911	1523562	147010
912	1525174	145334
913	1526829	143662
914	1528714	142011
915	1530558	140356
916	1532156	138679
917	1533808	137006
918	1535427	135331
919	1537029	133654
920	1538635	131978
921	1540249	130303
922	1541856	128627
923	1543453	126950
924	1545061	125275
925	1546666	123599
926	1548264	121923
927	1549870	120248
928	1551465	118572
929	1553060	116897
930	1554669	115222
931	1556267	113547
932	1557869	111872
933	1559477	110198
934	1561173	108530
935	1562793	106857
936	1564445	105186
937	1566032	103511
938	1567633	101837
939	1569233	100163
940	1570870	98492
941	1572474	96818
942	1574063	95144
943	1575656	93471
944	1577253	91797
945	1578855	90124
946	1580449	88451
947	1582050	86779
948	1583657	85106
949	1585287	83436
950	1586876	81763
951	1588509	80092
952	1590104	78420
953	1591755	76751
954	1593359	75079
955	1594950	73407
956	1596562	71736
957	1598171	70065
958	1599782	68395
959	1601380	66724
960	1602983	65053
961	1604583	63382
962	1606169	61711
963	1607765	60041
964	1609360	58370
965	1611032	56703
966	1612626	55032
967	1614206	53362
968	1615818	51692
969	1617478	50025
970	1619075	48355
971	1620687	46686
972	1622334	45018
973	1624000	43351
974	1625588	41681
975	1627192	40012
976	1628830	38345
977	1630496	36677
978	1632217	35011
979	1634245	33351
980	1635915	31684
981	1637574	30016
982	1639238	28348
983	1640902	26681
984	1642561	25013
985	1644233	23346
986	1645915	21678
987	1647578	20011
988	1649245	18343
989	1650896	16675
990	1652541	15007
991	1654224	13340
992	1655936	11673
993	1657580	10005
994	1659225	8337
995	1660877	6670
996	1662528	5002
997	1664187	3335
998	1665836	1667
999	1667503	0
