iter	MultiClass
170	0.7331013534
171	0.7321712445
172	0.73080254
173	0.7299474175
174	0.7296031068
175	0.7282591642
176	0.7278057253
177	0.727349256
178	0.7261420705
179	0.7250591676
180	0.7246260765
181	0.723522046
182	0.7228321416
183	0.7212817796
184	0.7206581933
185	0.7201708126
186	0.7189708616
187	0.7176363652
188	0.7170201355
189	0.7152001003
190	0.7143043474
191	0.7129504165
192	0.7123691813
193	0.7118066324
194	0.7101443664
195	0.7097543496
196	0.7084416465
197	0.7079530014
198	0.7072096414
199	0.7069073064
200	0.7066388761
201	0.7062889375
202	0.7059369835
203	0.7047781026
204	0.7040312461
205	0.7028235423
206	0.7012307961
207	0.6994091778
208	0.6990077539
209	0.6971167334
210	0.6957416042
211	0.6947498189
212	0.6943753618
213	0.6936614806
214	0.6924658964
215	0.6916509651
216	0.6900645365
217	0.6895890092
218	0.6890679591
219	0.6883547922
220	0.6875448379
221	0.6868565506
222	0.6847041407
223	0.6844422153
224	0.6835682082
225	0.6826581417
226	0.6813788174
227	0.6810038133
228	0.6805304104
229	0.6780705445
230	0.6776404512
231	0.6772432402
232	0.6766758018
233	0.6757204178
234	0.6753328595
235	0.6750062829
236	0.6747899852
237	0.6735017427
238	0.6728190953
239	0.6716118955
240	0.6712006478
241	0.6701210945
242	0.6693368563
243	0.6686758348
244	0.6683755487
245	0.6682086889
246	0.666387385
247	0.6639254884
248	0.6635793553
249	0.6623151498
250	0.6611008637
251	0.6598955913
252	0.6593517447
253	0.6585821034
254	0.658142326
255	0.6575424646
256	0.6571493905
257	0.6551413269
258	0.6543373597
259	0.6532801822
260	0.6505495632
261	0.650280182
262	0.6496985944
263	0.6493307475
264	0.64897636
265	0.6483906747
266	0.6479020727
267	0.6475664997
268	0.647136046
269	0.646502686
270	0.646149824
271	0.645167844
272	0.6448388338
273	0.6431996032
274	0.641696969
275	0.6414906653
276	0.6410183537
277	0.6403995605
278	0.6399218248
279	0.6384568535
280	0.6371049681
281	0.6368474019
282	0.6365380199
283	0.6359044253
284	0.6356689776
285	0.6352691551
286	0.6349848003
287	0.6343798903
288	0.633907474
289	0.6332624895
290	0.633009171
291	0.6328156203
292	0.6323283081
293	0.631101137
294	0.6308539346
295	0.6304979636
296	0.6301577757
297	0.6297255196
298	0.6293409256
299	0.6283704431
300	0.627643977
301	0.6274650178
302	0.6272038062
303	0.6268656136
304	0.6256321031
305	0.623337122
306	0.6230658546
307	0.6228914727
308	0.6224457582
309	0.6217014548
310	0.6214222608
311	0.6212131026
312	0.6209476648
313	0.6206643473
314	0.6204832463
315	0.6201228208
316	0.6198125378
317	0.6191931839
318	0.6185326547
319	0.6182440591
320	0.6170650378
321	0.6167615467
322	0.6164123786
323	0.6155034879
324	0.6150761896
325	0.6147879232
326	0.6145871485
327	0.6131651158
328	0.6129395938
329	0.6123703689
330	0.6120844716
331	0.6116898512
332	0.611462312
333	0.6112181582
334	0.6108487721
335	0.6104591964
336	0.610037389
337	0.6095481886
338	0.6091213302
339	0.6084527768
340	0.608099347
341	0.6079334493
342	0.6076305634
343	0.6073106764
344	0.6068800723
345	0.6065431536
346	0.6061935106
347	0.6060079923
348	0.6050432401
349	0.6046169403
350	0.6041800976
351	0.6039540823
352	0.6036929474
353	0.6028464763
354	0.6018902113
355	0.6016243857
356	0.6012712554
357	0.6006874355
358	0.6004450637
359	0.6002251079
360	0.5996874796
361	0.5993018257
362	0.5986468338
363	0.5983695105
364	0.5980269602
365	0.5975670248
366	0.5968067492
367	0.5963833061
368	0.5961398885
369	0.5958101714
370	0.5955355088
371	0.5952585899
372	0.5945105194
373	0.5925625466
374	0.5922721982
375	0.5919457132
376	0.5916197686
377	0.5912929492
378	0.589676286
379	0.5893806184
380	0.588998331
381	0.5887373497
382	0.5884436042
383	0.5875172495
384	0.5871100211
385	0.5857274173
386	0.5848163586
387	0.5845894691
388	0.5840592142
389	0.5836605846
390	0.5829697916
391	0.5828016182
392	0.582532512
393	0.5822801663
394	0.5818793156
395	0.5816164752
396	0.5812040064
397	0.5809264795
398	0.5803170153
399	0.5799671579
400	0.5796296227
401	0.5791664087
402	0.5784052466
403	0.5781270251
404	0.5776251278
405	0.5774399281
406	0.5771160151
407	0.5769080505
408	0.5766255904
409	0.5760870259
410	0.5758294578
411	0.5756316868
412	0.5754041613
413	0.5749726697
414	0.5743898799
415	0.5739957444
416	0.573106799
417	0.5728299277
418	0.5723356819
419	0.5718498679
420	0.5715806951
421	0.5703773875
422	0.5685373126
423	0.5683086497
424	0.5681011498
425	0.5677519501
426	0.5675244152
427	0.5671374673
428	0.5667525153
429	0.5664068211
430	0.5661054325
431	0.56579037
432	0.5651744512
433	0.5645697417
434	0.5642677401
435	0.5632621934
436	0.563114698
437	0.562604898
438	0.5622321871
439	0.5618921734
440	0.561113968
441	0.560618856
442	0.5602658002
443	0.5601074611
444	0.559414655
445	0.5590874346
446	0.5588065324
447	0.558516361
448	0.5579157115
449	0.5571087894
450	0.5569211176
451	0.5566291805
452	0.5563868902
453	0.5561557453
454	0.5559439412
455	0.5557092725
456	0.5547731766
457	0.5545509357
458	0.5541835154
459	0.5537097626
460	0.5534205586
461	0.5528003285
462	0.5524292903
463	0.5521043521
464	0.5518666674
465	0.5517000652
466	0.5513647773
467	0.5511759388
468	0.5509241882
469	0.5505749329
470	0.549703973
471	0.5494768675
472	0.5486725408
473	0.5484883764
474	0.5477415551
475	0.5468931384
476	0.5463634299
477	0.5461623322
478	0.5459420604
479	0.5454157917
480	0.5446337148
481	0.5442321736
482	0.54369291
483	0.5430117825
484	0.5428877606
485	0.542730703
486	0.5421635828
487	0.5419483325
488	0.5413176937
489	0.5411181461
490	0.5400840013
491	0.5398207928
492	0.5386112331
493	0.5382535955
494	0.5371568917
495	0.5369504797
496	0.5368075457
497	0.5364720156
498	0.5360585352
499	0.5358076555
500	0.535595583
501	0.5353962728
502	0.5351776346
503	0.5349024128
504	0.5344284227
505	0.5342006213
506	0.5333231085
507	0.5323604801
508	0.532237032
509	0.5320375329
510	0.5318304755
511	0.5304901212
512	0.5302936428
513	0.5300013541
514	0.529738171
515	0.5295249358
516	0.5293454527
517	0.5290601819
518	0.5285796918
519	0.5283691778
520	0.5281922713
521	0.5279405984
522	0.5277283484
523	0.5272800971
524	0.5271094268
525	0.5256527065
526	0.5253415071
527	0.5248703759
528	0.5246321303
529	0.5240868857
530	0.5238001162
531	0.5235065815
532	0.5230073445
533	0.5228401438
534	0.522297434
535	0.5218763653
536	0.5216650503
537	0.5214409922
538	0.5212627895
539	0.5210488011
540	0.5208921314
541	0.5203222047
542	0.5201281007
543	0.5198629524
544	0.5187443191
545	0.5183508059
546	0.5182077415
547	0.5180084881
548	0.5177816472
549	0.517571999
550	0.5170220761
551	0.5167841793
552	0.5162692342
553	0.5157073297
554	0.5154455468
555	0.5153038906
556	0.5151441762
557	0.5144229998
558	0.5142291506
559	0.514011022
560	0.5134394007
561	0.5132388204
562	0.5131006099
563	0.5128574553
564	0.5126877675
565	0.512350738
566	0.5115182914
567	0.5106993859
568	0.5104347945
569	0.510220961
570	0.5097754384
571	0.5095428817
572	0.5093146694
573	0.5089199385
574	0.508584029
575	0.5076941945
576	0.5069697776
577	0.506819486
578	0.5065960939
579	0.5064560739
580	0.5057212055
581	0.5046038074
582	0.5040020672
583	0.5038464969
584	0.5036814035
585	0.503454747
586	0.5031901907
587	0.5028251195
588	0.502475531
589	0.5022747809
590	0.5020493923
591	0.5017964461
592	0.5008618687
593	0.5000549823
594	0.4998996193
595	0.4997111156
596	0.49958041
597	0.4994022564
598	0.4992131651
599	0.499059261
600	0.4988352153
601	0.4984056535
602	0.4982312646
603	0.498011197
604	0.4978297227
605	0.4974404473
606	0.4972372216
607	0.4971079634
608	0.4969803853
609	0.4968009975
610	0.4964187688
611	0.4961980894
612	0.4960489332
613	0.4958664609
614	0.495667202
615	0.4954898724
616	0.4950648261
617	0.494790398
618	0.4946235176
619	0.4943345494
620	0.4940507176
621	0.4939016575
622	0.493707306
623	0.4935754861
624	0.4934091283
625	0.4931882468
626	0.492869789
627	0.4927407066
628	0.4917953785
629	0.491598381
630	0.4914061715
631	0.4912008185
632	0.4909101002
633	0.4904686428
634	0.4903287636
635	0.4899566947
636	0.4894622991
637	0.4885416133
638	0.4883618977
639	0.4880981586
640	0.4879090643
641	0.487380928
642	0.4871904314
643	0.4870241367
644	0.4868353632
645	0.4861117175
646	0.4858870154
647	0.4857100074
648	0.4854639005
649	0.4853356119
650	0.4851274595
651	0.4849317878
652	0.4845431821
653	0.4843662574
654	0.484218014
655	0.48375075
656	0.482945584
657	0.4822489364
658	0.4818429523
659	0.4817220815
660	0.4815684319
661	0.4812194217
662	0.4809369741
663	0.4807442593
664	0.4801571258
665	0.4796104373
666	0.4794332667
667	0.4792562276
668	0.4791280603
669	0.4789401945
670	0.4784244026
671	0.4782196125
672	0.4780465962
673	0.4778639099
674	0.4776501999
675	0.477447967
676	0.4767143054
677	0.4762678197
678	0.4761122453
679	0.4759650572
680	0.4758019911
681	0.4756269785
682	0.4746248615
683	0.4744955619
684	0.4743453582
685	0.4741948829
686	0.4740377524
687	0.4737739863
688	0.4736097653
689	0.4733347653
690	0.4729899417
691	0.4727599511
692	0.4725798701
693	0.4724540564
694	0.4722975748
695	0.4719516646
696	0.471813224
697	0.4715690052
698	0.4712536724
699	0.4705978965
700	0.4703772802
701	0.4700696149
702	0.4698591838
703	0.4696052736
704	0.4688243082
705	0.4686755137
706	0.4684932401
707	0.4676243406
708	0.4674819332
709	0.4673578662
710	0.4668425402
711	0.4665726865
712	0.4664159805
713	0.46630262
714	0.4661244187
715	0.4657539893
716	0.4654344675
717	0.4651494966
718	0.4650008294
719	0.4648699949
720	0.4646665531
721	0.4644690487
722	0.4642114892
723	0.4640181468
724	0.4638682661
725	0.4633957654
726	0.4630363807
727	0.4628315153
728	0.46262096
729	0.4624433446
730	0.4622902127
731	0.4621976205
732	0.4618042587
733	0.4613868449
734	0.4611543535
735	0.4609691738
736	0.4607781594
737	0.4604066594
738	0.4600527683
739	0.4598493539
740	0.4596753274
741	0.4593225896
742	0.4591644884
743	0.4589777275
744	0.4588349418
745	0.4584952326
746	0.4583063668
747	0.4578395369
748	0.457703442
749	0.4574682725
750	0.4572802452
751	0.4568014773
752	0.456621357
753	0.4561978469
754	0.4560200564
755	0.4557414489
756	0.4555886141
757	0.4553662595
758	0.4551553781
759	0.4548971235
760	0.4547115987
761	0.4544931898
762	0.4543202017
763	0.4541368238
764	0.4539870612
765	0.4537431554
766	0.4532576066
767	0.4530669524
768	0.4529139377
769	0.4526874631
770	0.4525423014
771	0.4521056889
772	0.4519179005
773	0.4517790933
774	0.4515923484
775	0.4513721123
776	0.4512267222
777	0.4510129809
778	0.4507968416
779	0.450612407
780	0.449764131
781	0.4496008759
782	0.4491281287
783	0.4483520968
784	0.4481770415
785	0.4480261218
786	0.4478691846
787	0.4472919963
788	0.4463956563
789	0.4460757449
790	0.4458442919
791	0.4455068353
792	0.4453283488
793	0.4451209171
794	0.4450032432
795	0.4448075626
796	0.4446186259
797	0.4444209707
798	0.4443148304
799	0.4441873922
800	0.4436372813
801	0.4435130792
802	0.443369294
803	0.4432154346
804	0.4429998672
805	0.4424920864
806	0.4423349208
807	0.4421905577
808	0.4420626664
809	0.4418713616
810	0.4417617263
811	0.4410985625
812	0.4408639837
813	0.4407067346
814	0.4404818659
815	0.4403577492
816	0.4401965735
817	0.4400589982
818	0.4393808647
819	0.4392303839
820	0.4391233346
821	0.4389708039
822	0.4387538449
823	0.4385860409
824	0.4382980748
825	0.4381965248
826	0.438053896
827	0.4377909779
828	0.4376573063
829	0.4372222107
830	0.4370699023
831	0.4368808068
832	0.4365592523
833	0.4364223517
834	0.436150564
835	0.43602401
836	0.4356187795
837	0.4353948428
838	0.4352276776
839	0.4350313566
840	0.4349476077
841	0.4347902455
842	0.4344543378
843	0.433795123
844	0.4336053855
845	0.433210482
846	0.4330116105
847	0.4328081754
848	0.432661418
849	0.4325182996
850	0.432287861
851	0.4321041531
852	0.4320097338
853	0.4318573093
854	0.4314362043
855	0.4310817117
856	0.4309591434
857	0.4307918052
858	0.4305193198
859	0.4304331917
860	0.4301484872
861	0.4300019322
862	0.4298777885
863	0.4297721836
864	0.4291808868
865	0.4289277407
866	0.4287726638
867	0.4285381967
868	0.4283623535
869	0.4281726027
870	0.4280375536
871	0.4279089338
872	0.427742054
873	0.4275503771
874	0.4273473778
875	0.4269660914
876	0.4263896316
877	0.4260843603
878	0.4259983711
879	0.4258519764
880	0.4256608384
881	0.425492069
882	0.4252534851
883	0.4250882745
884	0.4248553145
885	0.4247513735
886	0.4245965
887	0.4244641145
888	0.4243156756
889	0.4241852916
890	0.4240212974
891	0.4236956875
892	0.4234701253
893	0.4233541756
894	0.4231642669
895	0.4229079313
896	0.4227767342
897	0.4223458633
898	0.4220262558
899	0.4218292477
900	0.4216123967
901	0.4212437739
902	0.4211260051
903	0.4208897001
904	0.4206786243
905	0.4202140432
906	0.420060864
907	0.4198752955
908	0.4197448799
909	0.419218437
910	0.4190614419
911	0.4187791649
912	0.4185335133
913	0.4184016117
914	0.4182755993
915	0.4180049397
916	0.4178840793
917	0.4177464247
918	0.4175817777
919	0.4174843771
920	0.417299991
921	0.4167444612
922	0.4165529674
923	0.4163912089
924	0.4162170078
925	0.415797997
926	0.4156595929
927	0.4153652674
928	0.4151255227
929	0.4149566477
930	0.4148560614
931	0.414754884
932	0.414629163
933	0.4143826037
934	0.4141719906
935	0.4140127253
936	0.4138690482
937	0.4137524938
938	0.413616544
939	0.4131955939
940	0.4130293565
941	0.4126005559
942	0.4123748066
943	0.412282193
944	0.4121652502
945	0.4115849078
946	0.4114183273
947	0.4113167754
948	0.411060779
949	0.4102875663
950	0.4101266661
951	0.4097034723
952	0.4095271812
953	0.4093577693
954	0.4091342751
955	0.4089535319
956	0.4087768682
957	0.4085723982
958	0.4084106298
959	0.4082528698
960	0.4080977206
961	0.407944492
962	0.4077818652
963	0.4075940354
964	0.4074668302
965	0.4073155422
966	0.4071975133
967	0.4066485604
968	0.4064739118
969	0.4063588195
970	0.4062724822
971	0.4060722501
972	0.4059684104
973	0.4057085317
974	0.4056184578
975	0.4054426036
976	0.4052942983
977	0.405173739
978	0.404961675
979	0.404855357
980	0.4047064508
981	0.4045695252
982	0.4043160512
983	0.4037926287
984	0.4036713975
985	0.4035503299
986	0.402618037
987	0.4024287535
988	0.4022944069
989	0.4016409424
990	0.4008666167
991	0.400675888
992	0.4005026796
993	0.4003287087
994	0.4002141299
995	0.3999095161
996	0.3997054191
997	0.399454355
998	0.3993581442
999	0.3992188194
